satelite_id,Datetime,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,t_tm
C01,2025-03-25 00:00:00,552.34375,-5.574875073067e-09,-0.045153267877710006,1.810118556023e-05,0.0005532355280593001,-8.426606655121e-06,6493.4214687349995,172800.0,3.0267983675e-08,-2.853766135729,1.746229827404e-07,0.09798441845004,262.125,-0.8257970557735,6.606346609425e-09,-1.053615315878e-10,172800.0
C01,2025-03-25 01:00:00,361.453125,-5.272362472203e-09,0.21593560450470003,1.2008938938380001e-05,0.0005554666277021,-1.547764986753e-05,6493.4271717070005,176400.0,1.448206603527e-07,-2.632449012982,1.415610313416e-07,0.10328049349849999,477.265625,-1.04580882257,6.259546449521001e-09,3.214419607765e-11,176400.0
C01,2025-03-25 02:00:00,149.9375,-4.488758403376e-09,0.4803097447031,5.1008537411689995e-06,0.0005540224956349,-1.88797712326e-05,6493.422872543,180000.0,2.249144017696e-07,-2.419197885097,1.234002411366e-07,0.10755959617460001,578.140625,-1.261106502628,5.502372053025e-09,1.453631978178e-10,180000.0
C01,2025-03-25 03:00:00,-48.078125,-3.475144753728e-09,0.7494162098389001,-1.482199877501e-06,0.0005509428447112,-1.875590533018e-05,6493.411348343,183600.0,2.3609027266499998e-07,-2.211454822256,9.685754776001e-08,0.1106601866752,570.65625,-1.475680462483,4.564833000760001e-09,2.417957860507e-10,183600.0
C01,2025-03-25 04:00:00,-224.84375,-2.434387116281e-09,1.019808351751,-7.400754839182e-06,0.0005489117465913,-1.5886500477790002e-05,6493.399795532,187200.0,2.053566277027e-07,-2.007083093627,5.4016709327700004e-08,0.112473356601,480.71875000000006,-1.688202802617,3.598364172026e-09,3.221562762449e-10,187200.0
C01,2025-03-25 05:00:00,-375.421875,-1.570779714994e-09,1.286453397239,-1.2442469596860001e-05,0.0005484969587997,-1.125549897552e-05,6493.394231796,190800.0,1.708976924419e-07,-1.804203932039,-2.747401595116e-08,0.1129381973578,339.171875,-1.895500244519,2.769758228691e-09,3.907305612105e-10,190800.0
C01,2025-03-25 06:00:00,-490.03125,-8.589643507416e-10,1.546406127942,-1.6254372894760003e-05,0.0005483129061759,-5.764421075583e-06,6493.397638321,194400.0,1.4761462807659998e-07,-1.60104988668,-1.098960638046e-07,0.11203921518019999,173.671875,-2.096375622345,2.035084769449e-09,4.4251843266890003e-10,194400.0
C01,2025-03-25 07:00:00,-552.8125,-2.114373786441e-10,1.800912688202,-1.8302816897630004e-05,0.0005466626025736,-4.656612873077e-10,6493.408918381,198000.0,1.2479722499849998e-07,-1.395832007697,-1.657754182816e-07,0.10980590834830001,1.3125,-2.293845587282,1.313983304107e-09,4.746626287466e-10,198000.0
C01,2025-03-25 08:00:00,-545.796875,4.768055751518e-10,2.054154229552,-1.8006190657620002e-05,0.0005431650206447,5.7336874306199995e-06,6493.423711777,201600.0,8.149072527885e-08,-1.186603402749,-1.8719583749769998e-07,0.1063139331335,-170.171875,-2.494021375738,5.303792352812e-10,4.885917803802001e-10,201600.0
C01,2025-03-25 09:00:00,-454.875,1.252552173826e-09,2.310379597132,-1.4927238225940002e-05,0.0005392654566094001,1.120055094361e-05,6493.436168671,205200.0,1.8160790204999998e-08,-0.9711089411911001,-1.895241439342e-07,0.101688219814,-335.171875,-2.703392423557,-3.239420649158e-10,4.864488339751e-10,205200.0
C01,2025-03-25 10:00:00,-278.78125,2.0761579088820005e-09,2.570624299952,-9.040348231792e-06,0.0005369108403102,1.5767756849530002e-05,6493.442544937,208800.0,-3.958120942116e-08,-0.7466143208776,-1.853331923485e-07,0.09610856979913,-474.4375,-2.925716916082,-1.190049570341e-09,4.703767359362e-10,208800.0
C01,2025-03-25 11:00:00,-28.578125,2.921550265724e-09,2.833355884508,-7.539056241512e-07,0.0005379575304687,1.8484890460970003e-05,6493.440008163,212400.0,-6.752088665962e-08,-0.509725314391,-1.7276033759119998e-07,0.08981871694437,-560.5,3.120336205202,-2.018298355942e-09,4.385896975928001e-10,212400.0
C01,2025-03-25 12:00:00,267.71875,3.733369795552e-09,3.094998330944,8.938368409871999e-06,0.0005431894678622001,1.812074333429e-05,6493.427371979,216000.0,-4.330649971962e-08,-0.2562579628585,-1.527369022369e-07,0.08313998389119,-557.328125,2.867791258628,-2.736185401676e-09,3.896590880079e-10,216000.0
C01,2025-03-25 13:00:00,534.09375,4.943063041274e-09,-2.927568828467,1.7638318240640003e-05,0.0005462187109515,1.197634264827e-05,6493.419647217001,219600.00000000003,-7.078051567078001e-08,0.01866266976368,-7.450580596924e-08,0.07648816267899,-366.796875,2.594892939089,-3.927306445220001e-09,3.1322733289e-10,219600.00000000003
C01,2025-03-25 14:00:00,671.53125,5.740596261734e-09,-2.670095445473,2.208957448602e-05,0.0005501620471478,1.366715878248e-06,6493.408033371,223200.00000000003,3.119930624962e-08,0.31984142672500004,-3.3527612686160006e-08,0.07038989357589,-46.5625,2.29894639934,-4.6526938033720005e-09,2.153661137202e-10,223200.00000000003
