satelite_id,Datetime,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,t_tm
J02,2025-03-25 00:00:00,-28.4375,3.3776406922920003e-09,2.842230448821,-1.236796379089e-06,0.07442360289861,5.122274160385001e-07,6493.7020435330005,172800.0,4.7311186790470004e-07,1.204437288459,-1.862645149231e-08,0.6999844595624001,119.37500000000001,-1.562015951,-3.181918253953e-09,-6.182400378934e-10,169206.0
J02,2025-03-25 01:00:00,-27.1875,3.3704975376080006e-09,3.104720608007,-1.214444637299e-06,0.07442332548089,5.420297384261999e-07,6493.7026577,176400.0,5.15952706337e-07,1.204425411027,4.4703483581540004e-08,0.6999822681111,116.12499999999999,-1.562014839182,-3.1904900395740003e-09,-5.928818387655001e-10,172806.0
J02,2025-03-25 02:00:00,-25.125,3.349425231291e-09,-2.91597476235,-1.1324882507319998e-06,0.07442432036623,1.303851604462e-07,6493.700437546,180000.0,3.650784492493e-07,1.204411583525,4.4517219066619995e-07,0.6999804657961,127.125,-1.562011901643,-3.1604887899010004e-09,-4.435899058715e-10,176406.0
J02,2025-03-25 03:00:00,-17.96875,3.111201022582e-09,-2.653489029955,-8.139759302139e-07,0.0744257317856,-2.1420419216159998e-07,6493.696846008,183600.0,-8.06525349617e-07,1.204393948048,7.431954145431999e-07,0.6999801995450001,136.46875,-1.562001320356,-2.868690921063e-09,-7.928901699152999e-11,180006.0
J02,2025-03-25 04:00:00,-10.5625,2.736899717145e-09,-2.391006157564,-4.284083843231e-07,0.0744269132847,-2.495944499969e-07,6493.693426132,187200.0,-1.657754182816e-06,1.204378269955,-3.129243850708e-07,0.6999813874344001,138.65625,-1.561988772908,-2.416172071837e-09,1.296482575132e-10,183606.0
J02,2025-03-25 05:00:00,-12.125,2.541534436539e-09,-2.128516939034,-2.8684735298159994e-07,0.07442708930466001,-1.676380634308e-07,6493.692878723001,190800.0,-7.990747690200999e-07,1.20436835137,-1.3392418622969999e-06,0.6999816536855,137.8125,-1.561987015943,-2.206877639598e-09,1.678641350722e-11,187206.0
J02,2025-03-25 06:00:00,-19.84375,2.609751563771e-09,-1.866017570779,-3.129243850708e-07,0.0744266284164,-2.7567148208619996e-07,6493.694984436,194400.0,4.7124922275539994e-07,1.204361453712,-1.005828380585e-06,0.6999796348586,143.03125,-1.561998397446,-2.346526313668e-09,-2.189376910622e-10,190806.0
J02,2025-03-25 07:00:00,-26.28125,2.735471086208e-09,-1.603512656601,-3.3713877201079994e-07,0.07442620617803,-5.289912223816e-07,6493.698001862,198000.0,9.853392839432e-07,1.204353536399,-1.173466444016e-07,0.6999766943932001,154.34375,-1.562015200523,-2.5643925315280003e-09,-3.875161416028e-10,194406.0
J02,2025-03-25 08:00:00,-26.59375,2.820831784681e-09,-1.341010072852,-2.682209014893e-07,0.07442611886654,-7.227063179015999e-07,6493.700456619,201600.0,8.977949619292999e-07,1.204344106429,7.431954145431999e-07,0.6999738358513001,165.03125,-1.562028916843,-2.7247563541820003e-09,-5.057353516217e-10,198006.0
J02,2025-03-25 09:00:00,-23.0,2.8472614570110005e-09,-1.078510444198,-1.8812716007229998e-07,0.07442627870478,-8.121132850646999e-07,6493.702468871999,205200.0,3.1106173992159995e-07,1.204333896724,1.4659017324450001e-06,0.6999713035401001,172.65625,-1.562039365004,-2.8079741062500004e-09,-6.350264514006e-10,201606.0
J02,2025-03-25 10:00:00,-16.15625,2.996553389905e-09,-0.8160146425367,-8.568167686462001e-08,0.07442650396843,-7.320195436478e-07,6493.703727722,208800.0,-7.953494787215999e-07,1.204321761818,1.3858079910279997e-06,0.6999676696516001,174.96875,-1.562044954814,-3.0629847284660005e-09,-7.328876705704001e-10,205206.0
J02,2025-03-25 11:00:00,-12.125,3.3119236692000004e-09,-0.5535245638113001,-1.471489667892e-07,0.07442641141824,-5.457550287247e-07,6493.703176498,212400.0,-1.0877847671509998e-06,1.204305276194,3.1478703022e-07,0.6999633979308001,171.90625,-1.562041799299,-3.5490764047060005e-09,-6.17525722425e-10,208806.0
J02,2025-03-25 12:00:00,-16.78125,3.5422904077570002e-09,-0.2910386295328,-4.5262277126309995e-07,0.07442559069023,-6.482005119323999e-07,6493.700382233001,216000.0,-4.2654573917389996e-07,1.204286919498,-1.0244548320769999e-07,0.6999607281053,173.3125,-1.562032819908,-3.895162249142e-09,-3.4394289803080003e-10,212406.0
J02,2025-03-25 13:00:00,-22.4375,3.594792594684e-09,-0.0285507320183,-6.556510925292999e-07,0.07442378357518,-1.188367605209e-06,6493.695302963,219600.00000000003,-2.812594175339e-07,1.204272013826,-7.636845111847e-08,0.6999596192134,188.65625,-1.562027875245,-3.9380211772460005e-09,-2.907263956356e-10,216006.0
J02,2025-03-25 14:00:00,-15.0,3.6669384569910006e-09,0.2339474893091,-4.7311186790470004e-07,0.07442084245849,-1.8570572137829999e-06,6493.687133789,223200.00000000003,-2.924352884293e-07,1.204257924462,-1.0244548320769999e-07,0.6999585322653,214.28124999999997,-1.562032977903,-3.934449599904e-09,-2.992981812563e-10,219606.0
