GPS TOW [s],North,East,Up
123214,2815215.88299186,517186.678681848,5680780.49271075
123215,2815216.74241101,517165.689435596,5680751.88268132
123216,2815216.75337046,517165.679707361,5680751.87984847
123217,2815216.74449031,517165.678902185,5680751.87559134
123218,2815216.74474342,517165.682257178,5680751.87038372
123219,2815216.74935571,517165.685515517,5680751.87382627
123220,2815216.75389677,517165.686747959,5680751.86825138
123221,2815216.76069994,517165.689039139,5680751.88940468
123222,2815216.76873545,517165.696485477,5680751.89604965
123223,2815216.75702286,517165.709189618,5680751.88036346
123224,2815216.77283847,517165.718663012,5680751.90427153
123225,2815216.7853502,517165.711349178,5680751.92102962
123226,2815216.77546878,517165.708689344,5680751.90983441
123227,2815216.79056829,517165.704904753,5680751.91704134
123228,2815216.77797758,517165.703168408,5680751.89794562
123229,2815216.79415671,517165.703847823,5680751.91496316
123230,2815216.80198362,517165.705190037,5680751.92279446
123231,2815216.8090896,517165.702127541,5680751.92699583
123232,2815216.8115723,517165.704900954,5680751.93430528
123233,2815216.81347235,517165.701215245,5680751.93817846
123235,2815216.81134432,517165.710856434,5680751.92667649
123236,2815216.82726968,517165.700583681,5680751.92848596
123237,2815216.82385026,517165.692777127,5680751.9179585
123238,2815216.83356817,517165.697280532,5680751.94068956
123239,2815216.83489687,517165.702138261,5680751.92354332
123240,2815216.8403433,517165.69335076,5680751.93194491
123241,2815216.84310101,517165.704536793,5680751.93040875
123242,2815216.8407098,517165.701210633,5680751.93189078
123243,2815216.83811686,517165.702051261,5680751.92059
123244,2815216.84897588,517165.703158717,5680751.92850518
123245,2815216.85139445,517165.70075231,5680751.93734938
123246,2815216.84676688,517165.702031439,5680751.93528208
123247,2815216.85474095,517165.712350331,5680751.94232405
123248,2815216.85090196,517165.710892811,5680751.93831187
123249,2815216.85868589,517165.712536931,5680751.94762647
123250,2815216.86286157,517165.728344907,5680751.93963036
123251,2815216.85184654,517165.7347797,5680751.92101228
123252,2815216.86352032,517165.738916751,5680751.93332187
123253,2815216.86182169,517165.743800503,5680751.9340727
123254,2815216.86913984,517165.745715083,5680751.94539867
123255,2815216.88431437,517165.755878968,5680751.96819744
123256,2815216.87827172,517165.758324243,5680751.95964948
123257,2815216.88687805,517165.760682522,5680751.95058277
123258,2815216.88935742,517165.759282971,5680751.9625304
123259,2815216.88344677,517165.754582258,5680751.94584618
123260,2815216.88276845,517165.758428699,5680751.95483685
123261,2815216.89444671,517165.757581803,5680751.96988288
123262,2815216.88980112,517165.7596738,5680751.95322655
123263,2815216.91574409,517165.743261506,5680751.92175684
123264,2815217.28880271,517165.607420179,5680751.7587589
123265,2815218.02364613,517165.313476873,5680751.36601093
123266,2815219.14560694,517164.835774887,5680750.86556323
123267,2815220.67357096,517163.970899188,5680750.2307415
123268,2815222.51396323,517162.385679944,5680749.44153425
123269,2815224.45616097,517159.878368723,5680748.60328471
123270,2815226.7220605,517156.46998135,5680747.73286851
123271,2815229.22798457,517152.210951754,5680746.75174805
123272,2815231.66501031,517147.700659861,5680745.87062015
123273,2815233.74600258,517143.422596113,5680745.16738092
123274,2815235.43012612,517139.097440396,5680744.63071812
123275,2815236.68834596,517135.084673756,5680744.27735113
123276,2815237.58439564,517131.146995492,5680744.05095255
123277,2815238.09125417,517127.515684904,5680744.13689088
123278,2815238.11945436,517124.35843649,5680744.40917462
123279,2815237.58607558,517121.663805763,5680744.97942315
123280,2815236.33058505,517119.239055083,5680745.86819013
123281,2815234.24361502,517117.241920319,5680747.15381095
123282,2815231.30397851,517115.832618662,5680748.90356994
123283,2815227.54686988,517115.003772556,5680751.09840678
123284,2815223.3209153,517114.42729279,5680753.48282852
123285,2815218.93526235,517113.963999194,5680755.91951103
123286,2815215.1858901,517113.91309443,5680757.93362919
123287,2815212.51536273,517114.225740076,5680759.29461463
123288,2815210.91595983,517114.586573629,5680760.09691317
123289,2815209.69715759,517114.930111686,5680760.69732761
123290,2815207.97608724,517115.559589108,5680761.52730365
123291,2815205.3347674,517117.11691446,5680762.78051289
123292,2815202.04860357,517120.171954979,5680764.26555115
123293,2815198.71928786,517125.098798793,5680765.63381994
123294,2815196.01714068,517131.916014758,5680766.66001017
123295,2815193.13639859,517140.000331792,5680767.71129538
123296,2815189.60676565,517149.150792403,5680769.02882169
123297,2815185.34844538,517159.040123287,5680770.6250378
123298,2815180.58501603,517169.169174775,5680772.49643151
123299,2815175.33200404,517179.042241517,5680774.62916301
123300,2815169.73935248,517188.440748733,5680776.93602741
123301,2815163.69204074,517197.321527046,5680779.47621605
123302,2815157.23157192,517205.698660916,5680782.3014193
123303,2815150.7099856,517213.27620933,5680785.07662657
123304,2815144.77573749,517219.788038998,5680787.60627506
123305,2815139.55746198,517225.388049607,5680789.82558558
123306,2815135.12973341,517230.152746331,5680791.72095726
123307,2815131.41435302,517234.398349452,5680793.4202344
123308,2815127.91569242,517238.74421404,5680794.99545771
123309,2815124.66808036,517243.519659402,5680796.27947598
123310,2815122.08059333,517248.827884992,5680797.31682512
123311,2815120.42149439,517254.823623529,5680797.79129455
123312,2815119.99621545,517261.238502227,5680797.51374975
123313,2815121.1451105,517267.339795386,5680796.57056166
123314,2815123.28898451,517272.791281632,5680795.05655737
123315,2815125.6125449,517278.189428781,5680793.57119987
123316,2815127.75096598,517284.372613836,5680792.03201028
123317,2815129.64454116,517291.745527848,5680789.97789493
123318,2815131.82605778,517300.587080371,5680787.82231956
123319,2815134.06236588,517310.704909582,5680785.53503651
123320,2815136.33802642,517321.893312438,5680783.26603683
123321,2815138.56543751,517333.862257203,5680780.99454748
123322,2815140.76203751,517346.360371751,5680778.69464229
123323,2815143.1646954,517359.145344469,5680776.41736993
123324,2815146.31665391,517371.895321047,5680773.82365786
123325,2815150.56600833,517384.187564912,5680770.82332665
